SEL1,SEL2,GPO,RR1,RR2,RR3,RR4,GEN_AC,SEL1_MOD,SEL2_MOD,GPO_MOD,RR1_MOD,RR2_MOD,RR3_MOD,RR4_MOD,GEN_AC_MOD,RANGING
28.43,29.15,63.34,52.31,17.47,45.02,50.28,92.55,0.26,0.34,40.02,2.16,0.35,0.52,0.86,39.64,26.86
27.22,31.84,69.92,44.47,17.09,42.95,50.48,86.38,0.29,0.33,42.76,2.16,0.29,0.49,0.69,36.93,38.56
27.06,28.31,68.47,46.19,19.35,48.30,54.20,92.68,0.25,0.33,41.43,2.44,0.40,0.48,0.70,42.31,25.98
28.82,29.65,67.80,42.82,22.18,43.86,51.60,81.61,0.25,0.29,42.11,2.18,0.46,0.43,0.73,34.19,27.62
26.75,28.03,64.10,45.53,21.30,43.03,49.13,133.64,0.22,0.32,40.44,2.13,0.43,0.50,0.65,38.78,37.19
27.57,29.56,67.47,44.81,18.72,42.14,52.50,93.04,0.24,0.25,41.62,2.33,0.33,0.39,1.01,40.88,27.78
28.70,28.65,65.30,44.63,20.58,49.10,48.96,84.04,0.33,0.27,41.86,2.18,0.37,0.52,0.65,35.67,30.29
26.19,31.27,67.96,41.82,17.49,42.67,48.48,83.59,0.23,0.26,40.55,2.37,0.34,0.51,0.61,35.01,39.47
27.99,25.23,59.77,42.69,16.96,42.78,50.26,87.20,0.25,0.35,40.08,2.26,0.25,0.46,0.52,36.75,25.43
26.46,28.84,62.15,42.94,18.37,42.55,52.25,86.81,0.25,0.33,38.89,3.01,0.30,0.48,0.43,36.71,25.76
26.12,28.53,63.72,42.77,18.93,42.54,51.09,87.96,0.24,0.36,39.72,2.39,0.35,0.45,0.58,37.66,37.57
29.76,25.87,65.42,44.44,18.27,41.99,50.02,89.06,0.23,0.18,43.16,2.07,0.26,0.52,0.51,38.11,28.74
27.98,25.08,58.07,44.17,18.59,44.48,50.60,84.97,0.25,0.28,40.33,2.44,0.31,1.24,0.52,35.50,27.45
28.57,27.80,60.73,43.89,16.81,40.95,48.09,85.71,0.25,0.27,37.78,2.75,0.29,0.66,0.52,37.18,38.14
27.43,27.41,61.58,42.38,19.31,42.35,49.56,76.28,0.24,0.23,39.64,2.31,0.33,0.53,0.71,31.55,25.97
25.17,24.82,63.21,58.79,16.64,41.57,48.17,86.19,0.18,0.25,42.72,2.44,0.33,0.48,0.62,36.85,24.43
26.96,26.77,61.56,40.55,16.15,40.64,46.90,94.26,0.27,0.21,39.53,1.62,0.33,0.45,0.62,38.45,38.07
28.07,29.11,64.08,43.11,20.57,41.71,51.51,86.59,0.26,0.24,41.55,2.00,0.35,0.52,0.71,37.60,24.38
30.06,28.48,67.43,46.71,19.43,40.37,48.32,85.66,0.26,0.24,42.90,2.32,0.29,0.46,0.72,36.68,30.37
25.91,26.12,57.76,49.26,18.43,40.50,48.98,101.33,0.24,0.22,39.55,2.14,0.28,0.50,1.13,37.49,38.60
